message,label,llm_prediction
idiot AMX,1.0,1
did i misspell that?,0.0,0
vroom vroom :D,0.0,0
gg,0.0,0
fuking bots,1.0,1
do your job BZ Idiot and dont push me,0.0,1
base is a bit exposed guys,0.0,0
just peaking,0.0,0
arty,0.0,0
good comeback abc kicked ass,1.0,1
130pm you the noob,1.0,1
e 75 dlete bot idiot,1.0,1
Im Spotted at F5!,0.0,0
f***ing morons,1.0,1
campers,1.0,0
do nothing there,1.0,0
wrong arty mate lol,0.0,0
grat team,0.0,0
nope,0.0,0
FKN ELC,1.0,1
IDIOTSSSSSSSSSSSSSS,1.0,1
useless Mant,1.0,1
"2 TD on base cen kill 5 whom, push NORTH = NORTH USLESS flank",1.0,0
laaaag,0.0,0
blind that bush,0.0,0
so fuck u,1.0,1
Im Spotted at F3!,0.0,0
"10 kills for ulit, carries",0.0,0
i spot,0.0,0
wtf you doing tiger and,1.0,1
Im Spotted at A0!,0.0,0
уебан недоношенный,1.0,1
gogog,0.0,0
268 4 idiot,1.0,1
Thats why u assholes wil lose,1.0,1
рикошет блядь,1.0,1
super hellcat,0.0,0
STRV STILL SITTING.. &quot; WATCH A VIDEO HE SAID&quot;,0.0,1
"arty imbecil asshole, m53",1.0,1
making right move..,0.0,1
amx spot retard,1.0,1
arty nooob camper,1.0,1
calling you an idiot for a shit play that got me killed is called crying now?,1.0,1
let them come,0.0,1
wg is fck,1.0,1
ebr 105 fck offf,1.0,1
push with me,0.0,1
what a crock of whit,1.0,1
best,0.0,1
gg,0.0,1
